0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DSC00025.JPG,0.001781577,0.002110368,822.5795591,7.826737324,9.69072053,0.389194355,102.5416184,272884,36215180,2000870,0.055249484,342098,0.00944626,230663,0.006369235
DSC00031.JPG,0.001784051,0.002011758,922.7117679,7.887432504,9.600117691,0.388373085,106.5980583,340016,45236487,1722868,0.038085804,352108,0.007783717,192454,0.004254398
DSC00033.JPG,0.001850905,0.002100266,976.4176316,7.83599538,9.760558053,0.383701377,102.6275359,422328,42267301,1407831,0.033307805,574034,0.013581042,325479,0.007700492
DSC00076.JPG,0.001881397,0.001335812,1287.119983,8.106423214,10.25855052,0.357858536,95.91653046,518932,50539965,1369223,0.027091887,501564,0.009924107,267359,0.005290051
DSC00094.JPG,0.001844621,0.001461979,1094.042592,8.058225035,10.03556178,0.381422891,105.303139,321989,70336777,365015,0.005189533,81740,0.001162123,30297,0.000430742
DSC00100.JPG,0.001642254,0.001363777,1357.308716,8.145830707,10.19455185,0.415035701,108.7969383,674646,34246011,1970843,0.057549564,755814,0.022070132,456230,0.013322136
DSC00108.JPG,0.001866465,0.000884341,992.5165244,7.943604761,10.87148344,0.35132302,92.93544079,393782,39194626,1124269,0.028684264,478470,0.012207541,291508,0.007437448
DSC00109.JPG,0.001862785,0.001630456,913.088545,7.855051974,10.03783601,0.35135528,93.4464585,202770,36676593,890936,0.024291678,286210,0.007803615,160741,0.004382659
DSC00118.JPG,0.00192185,0.001422708,1158.321299,8.069844373,10.1201158,0.340763924,90.02914088,320701,33380494,1973970,0.059135434,363060,0.010876412,158358,0.004744028
DSC00131.JPG,0.001888873,0.001419263,1270.505992,8.119867824,10.12537268,0.376921725,102.040454,432066,53240910,988932,0.018574664,575364,0.010806803,241288,0.004532004
DSC00132.JPG,0.001728291,0.001882246,1500.643513,8.106263142,9.69134026,0.393390784,105.7795882,296217,61575564,465797,0.00756464,658579,0.01069546,29806,0.000484056
DSC00140.JPG,0.00214878,0.000645962,1125.342076,8.061853494,11.30023623,0.344625767,93.24756688,197873,54295422,622154,0.011458682,337459,0.006215239,95719,0.001762929
DSC00146.JPG,0.001641808,0.001290917,1630.731542,8.252907365,10.33861039,0.399229504,107.3514276,685526,50522298,815007,0.01613163,754029,0.014924677,251772,0.004983384
DSC00148.JPG,0.001911708,0.001482876,1182.245425,7.864764875,10.3089934,0.349659636,93.5051735,498197,42647480,845919,0.019835146,654454,0.015345666,226154,0.005302869
DSC00149.JPG,0.001878468,0.001406284,1338.951573,8.159387579,10.04269467,0.387927282,111.4083021,163470,65310125,417637,0.006394675,228000,0.003491036,85997,0.001316748
DSC00160.JPG,0.001709949,0.001292033,2150.219328,8.442280855,10.29263146,0.390432553,108.6536155,1119488,68474456,718133,0.010487604,1355290,0.019792636,298916,0.004365365
DSC00161.JPG,0.00190461,0.001645967,1639.407545,8.254771245,9.778798491,0.349534294,97.16603438,894053,66523148,1080942,0.016249111,927126,0.013936893,726477,0.010920665
DSC00167.JPG,0.00190196,0.001810678,1481.187537,8.077199012,9.923146859,0.34828531,95.39692667,607135,60894650,721034,0.011840679,707783,0.011623074,435442,0.007150743
DSC00174.JPG,0.001820617,0.0020424,1079.233534,7.94713523,9.668792458,0.391213166,105.7120041,655880,53966828,975478,0.018075511,757433,0.014035159,478415,0.008864983
DSC00191.JPG,0.001353342,0.000686337,3887.245314,8.76037601,11.79801894,0.519192896,144.0659531,3707448,70768269,492109,0.006953809,4620508,0.065290674,425968,0.006019195
DSC00197.JPG,0.001980196,0.001211384,2302.2572,8.280325063,10.56864999,0.301054105,83.51782492,655587,67023555,518113,0.007730312,783182,0.011685175,359327,0.005361205
DSC00200.JPG,0.001234129,0.000449194,2728.947633,8.668746916,11.68954702,0.527794598,142.7007654,2855568,64203155,1617838,0.02519873,3921173,0.06107446,947909,0.014764212
DSC00203.JPG,0.001434741,0.00064638,2511.028239,8.560719212,11.04579964,0.468190327,124.4579971,2900196,64854628,902498,0.013915707,4164106,0.064206767,539378,0.008316723
DSC00207.JPG,0.001529742,0.000612899,2592.869887,8.5327447,11.23445296,0.439111153,119.8943495,2086070,63792929,1017701,0.015953194,2477657,0.038839054,538247,0.008437408
DSC00226.JPG,0.001696695,0.000670214,1881.154515,8.404142493,11.06003298,0.395200963,109.596912,1022333,63503251,837005,0.013180506,830596,0.013079582,298570,0.004701649
DSC00238.JPG,0.001974546,0.001252557,1533.500961,8.100635129,10.37051046,0.35437828,95.08423092,308745,57745249,623225,0.010792663,484223,0.008385504,141973,0.002458609
